"","category_name","date","sale_liters"
"303","TEQUILA","2015-03-02T00:00:00.000","10.5"
"304","TEQUILA","2015-03-02T00:00:00.000","3"
"305","TEQUILA","2015-03-02T00:00:00.000","2.25"
"306","TEQUILA","2015-03-02T00:00:00.000","1.6"
"307","TEQUILA","2015-03-02T00:00:00.000","1.5"
"308","TEQUILA","2015-03-02T00:00:00.000","1.5"
"309","TEQUILA","2015-03-02T00:00:00.000","4.5"
"310","TEQUILA","2015-03-02T00:00:00.000","4.5"
"311","TEQUILA","2015-03-02T00:00:00.000","1.5"
"312","TEQUILA","2015-03-02T00:00:00.000","3"
"313","TEQUILA","2015-03-02T00:00:00.000","1.5"
"314","TEQUILA","2015-03-02T00:00:00.000","12"
"315","TEQUILA","2015-03-02T00:00:00.000","0.75"
"316","TEQUILA","2015-03-02T00:00:00.000","1.5"
"317","TEQUILA","2015-03-02T00:00:00.000","2"
"318","TEQUILA","2015-03-02T00:00:00.000","0.75"
"319","TEQUILA","2015-03-02T00:00:00.000","4.5"
"320","TEQUILA","2015-03-02T00:00:00.000","0.4"
"321","TEQUILA","2015-03-02T00:00:00.000","1.5"
"322","TEQUILA","2015-03-02T00:00:00.000","0.75"
"323","TEQUILA","2015-03-02T00:00:00.000","3"
"324","TEQUILA","2015-03-02T00:00:00.000","0.75"
"325","TEQUILA","2015-03-02T00:00:00.000","9"
"326","TEQUILA","2015-03-02T00:00:00.000","12"
"327","TEQUILA","2015-03-02T00:00:00.000","2"
"328","TEQUILA","2015-03-02T00:00:00.000","36"
"329","TEQUILA","2015-03-02T00:00:00.000","2"
"330","TEQUILA","2015-03-02T00:00:00.000","9"
"331","TEQUILA","2015-03-02T00:00:00.000","12"
"332","TEQUILA","2015-03-02T00:00:00.000","2.25"
"333","TEQUILA","2015-03-02T00:00:00.000","2.25"
"334","TEQUILA","2015-03-02T00:00:00.000","0.5"
"335","TEQUILA","2015-03-02T00:00:00.000","0.6"
"336","TEQUILA","2015-03-02T00:00:00.000","9"
"337","TEQUILA","2015-03-02T00:00:00.000","9"
"338","TEQUILA","2015-03-02T00:00:00.000","2.25"
"339","TEQUILA","2015-03-02T00:00:00.000","1.5"
"340","TEQUILA","2015-03-02T00:00:00.000","12"
"341","TEQUILA","2015-03-02T00:00:00.000","90"
"342","TEQUILA","2015-03-02T00:00:00.000","21"
"343","TEQUILA","2015-03-02T00:00:00.000","1.5"
"344","TEQUILA","2015-03-02T00:00:00.000","2.25"
"345","TEQUILA","2015-03-02T00:00:00.000","0.75"
"346","TEQUILA","2015-03-02T00:00:00.000","3"
"347","TEQUILA","2015-03-02T00:00:00.000","1.5"
"348","TEQUILA","2015-03-02T00:00:00.000","2.25"
"349","TEQUILA","2015-03-02T00:00:00.000","0.75"
"350","TEQUILA","2015-03-02T00:00:00.000","1.5"
"351","TEQUILA","2015-03-02T00:00:00.000","0.4"
"352","TEQUILA","2015-03-02T00:00:00.000","1.5"
"353","TEQUILA","2015-03-02T00:00:00.000","9"
"354","TEQUILA","2015-03-02T00:00:00.000","24"
"355","TEQUILA","2015-03-02T00:00:00.000","10.5"
"356","TEQUILA","2015-03-02T00:00:00.000","12"
"357","TEQUILA","2015-03-02T00:00:00.000","12"
"358","TEQUILA","2015-03-02T00:00:00.000","4.5"
"359","TEQUILA","2015-03-02T00:00:00.000","3"
"360","TEQUILA","2015-03-02T00:00:00.000","9"
"361","TEQUILA","2015-03-02T00:00:00.000","10.5"
"362","TEQUILA","2015-03-02T00:00:00.000","9"
